input_img,output,flag,username,timestamp
/Users/zjm/Documents/MSc/project2/FaceDancer-main/flagged/input_img/tmpbe6hjy7u.jpg,/Users/zjm/Documents/MSc/project2/FaceDancer-main/flagged/output/tmprasx2o7y.png,,,2023-04-19 11:04:16.779136
/Users/zjm/Documents/MSc/project2/FaceDancer-main/flagged/input_img/tmpr4mobafo.jpg,/Users/zjm/Documents/MSc/project2/FaceDancer-main/flagged/output/tmp0qljp0_7.png,,,2023-04-19 11:04:17.958059
